labels , level2 , level1
 frankfurter , sausage , meat and sausage
 sausage , sausage , meat and sausage
 liver loaf , sausage , meat and sausage
 ham , sausage , meat and sausage
 grapes , fruit, fruit and vegetables
 berries , fruit ,fruit and vegetables
 onions , vegetables ,fruit and vegetables
 herbs , vegetables ,fruit and vegetables
 packaged fruit/vegetables ,packaged fruit/vegetables ,fruit and vegetables
 whole milk , dairy produce , fresh products
 butter , dairy produce , fresh products
 curd , dairy produce , fresh products
 dessert , dairy produce , fresh products
 butter milk , dairy produce , fresh products
 soft cheese , cheese , fresh products
 sliced cheese , cheese , fresh products
 flour , staple foods , processed food
 salt , staple foods , processed food
 rice , staple foods , processed food
 pasta , staple foods , processed food
 sugar , sweetener , processed food
 artif. sweetener , sweetener ,processed food
 honey , sweetener ,processed food
 dishes , non-food kitchen , non-food
 cookware ,non-food kitchen , non-food
 kitchen utensil ,non-food kitchen , non-food
